tracking_id,gene_short_name,P5 AT1 Control_A,P5 AT1 Control_B,P5 AT1 Control_C,P5 AT1 Mutant_A, P5 AT1 Mutant_B,P5 AT1 Mutant_C,Average Log2 foldchange (FPKM +1),T-test p-value
XLOC_000039,Tmem14a,4.0,3.4,5.5,3.8,3.6,3.7,-0.1,0.466537586
XLOC_000040,Gsta3,6.3,1.9,2.4,15.4,10.7,8.4,1.6,0.025226173
XLOC_000041,Khdc1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000042,Khdc1c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000043,Khdc1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000044,Mir30a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000045,Mir30c-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000046,B3gat2,0.7,0.4,0.7,0.5,0.2,0.4,-0.2,0.008344074
XLOC_000047,Col9a1,0.1,0.4,0.2,0.0,0.1,0.0,-0.2,0.080146734
XLOC_000048,Lmbrd1,20.7,14.4,14.8,10.2,10.3,10.5,-0.6,0.064685248
XLOC_000049,Mir6342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000050,Lgsn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000051,Pih1d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000052,Gm4850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000053,Khdrbs2,0.1,0.1,0.2,0.1,0.1,0.0,-0.1,0.308370666
XLOC_000054,1700001G17Rik,0.2,0.3,0.1,0.7,0.3,0.1,0.2,0.3912399
XLOC_000055,Rab23,3.8,4.7,4.7,4.2,4.4,4.6,0.0,0.960209952
XLOC_000056,Dst,6.7,7.0,7.9,7.3,4.4,7.1,-0.2,0.430867811
XLOC_000057,Mir6896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000058,Imp4,10.4,10.0,10.8,14.0,10.3,13.5,0.2,0.140307227
XLOC_000059,Ptpn18,13.5,9.1,10.3,6.1,8.7,8.7,-0.4,0.286775755
XLOC_000060,Prss39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000061,Cfc1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.422649731
XLOC_000062,Amer3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000063,Arhgef4,2.2,1.0,1.2,1.9,1.1,1.3,0.0,0.97299654
XLOC_000064,Plekhb2,72.8,42.6,52.3,47.1,44.6,47.5,-0.2,0.374070727
XLOC_000065,Hs6st1,40.8,30.4,28.3,37.0,41.9,40.4,0.3,0.316900655
XLOC_000066,Arid5a,4.9,8.1,3.8,5.2,9.4,7.4,0.4,0.256424268
XLOC_000067,Fer1l5,0.3,0.1,0.1,0.1,0.1,0.1,-0.1,0.298446307
XLOC_000068,Cnnm4,16.8,10.7,9.2,11.1,7.5,7.2,-0.4,0.023802099
XLOC_000069,Cnnm3,8.5,9.5,8.4,6.3,9.4,8.0,-0.2,0.295973163
XLOC_000070,Cox5b,139.6,176.8,158.6,284.9,257.5,225.5,0.7,0.054242471
XLOC_000071,4933424G06Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000072,Zap70,0.3,2.0,0.1,0.1,0.6,0.3,-0.3,0.450612908
XLOC_000073,Cnga3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000074,Inpp4a,7.9,4.5,7.8,3.4,2.9,5.5,-0.7,0.069086604
XLOC_000075,Unc50,34.0,34.3,38.6,28.1,31.6,28.8,-0.3,0.091541794
XLOC_000076,Lipt1,3.8,2.8,2.5,2.8,2.7,2.6,-0.1,0.464070309
XLOC_000077,Mrpl30,29.0,40.4,41.8,62.1,49.7,48.5,0.5,0.196326855
XLOC_000078,Eif5b,24.6,14.9,18.7,25.5,20.2,21.5,0.2,0.178975621
XLOC_000079,Nms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000080,Pdcl3,27.6,27.1,30.9,38.0,32.1,35.7,0.3,0.061833559
XLOC_000081,Npas2,6.0,1.6,2.9,4.4,3.8,4.1,0.3,0.488206894
XLOC_000082,Rpl31,291.3,304.8,305.0,460.4,346.4,310.7,0.3,0.266630537
XLOC_000083,Cnot11,12.4,9.7,8.4,11.1,11.5,10.4,0.1,0.468330846
XLOC_000084,Map4k4,40.4,41.1,43.2,42.5,40.5,46.0,0.0,0.312757714
XLOC_000085,Il1r2,1.5,2.6,1.0,0.4,0.9,0.4,-0.8,0.032965021
XLOC_000086,Il1r1,10.3,7.8,11.8,15.8,9.5,11.2,0.3,0.307994391
XLOC_000087,Il1rl2,2.7,4.0,4.6,3.6,2.5,4.7,-0.1,0.817580501
XLOC_000088,Il1rl1,0.0,0.6,0.6,0.2,0.3,0.4,-0.1,0.517563391
XLOC_000089,Il18r1,98.8,57.1,104.3,15.0,27.1,29.7,-1.8,0.058251195
XLOC_000090,Il18rap,0.5,0.8,0.5,0.3,0.4,0.2,-0.3,0.039926977
XLOC_000091,Slc9a4,0.3,0.2,0.7,5.7,0.6,2.4,1.3,0.172072374
XLOC_000092,Slc9a2,0.2,0.0,0.1,3.8,0.6,2.0,1.4,0.069247874
XLOC_000093,Tmem182,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.975034816
XLOC_000094,Pou3f3,0.1,0.2,0.2,0.1,0.1,0.1,-0.1,0.186926969
XLOC_000095,2900092D14Rik,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.200600735
XLOC_000096,Mrps9,13.9,15.2,17.0,22.5,19.7,17.5,0.4,0.189935263
XLOC_000097,Gpr45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.422649731
XLOC_000098,AI597479,7.3,6.7,10.1,6.0,6.3,8.1,-0.2,0.092037614
XLOC_000099,Nck2,17.5,21.6,21.0,31.6,30.4,29.1,0.6,0.039531849
XLOC_000100,1500015O10Rik,1.9,2.9,2.6,2.4,1.7,1.9,-0.2,0.466221018
XLOC_000101,Tpp2,18.6,13.0,16.1,19.9,14.8,19.6,0.2,0.068875839
XLOC_000102,Bivm,3.9,4.1,5.1,5.8,4.7,5.9,0.3,0.104580552
XLOC_000103,Ercc5,9.6,6.7,6.8,8.5,7.1,8.0,0.0,0.726644096
XLOC_000104,Gulp1,5.8,6.9,6.2,8.2,4.3,6.9,0.0,0.994751653
XLOC_000105,Col3a1,348.2,446.2,366.3,321.5,290.1,241.3,-0.4,0.114768455
XLOC_000106,Wdr75,9.0,7.2,9.0,14.3,12.1,12.2,0.6,0.018101785
XLOC_000107,Dnah7b,0.2,0.2,0.2,0.6,0.6,0.9,0.5,0.018573943
XLOC_000108,Tmeff2,0.2,0.8,0.4,0.1,0.2,0.2,-0.3,0.251805836
XLOC_000109,Sdpr,299.0,94.7,182.1,127.1,114.3,177.1,-0.3,0.541178166
XLOC_000110,Stat4,0.4,0.7,0.3,0.1,0.3,0.1,-0.3,0.040090015
XLOC_000111,Stat1,9.8,12.3,14.5,8.3,10.5,10.4,-0.3,0.062468002
XLOC_000112,Tmem194b,1.9,3.1,3.6,2.8,2.6,3.3,0.0,0.834996716
XLOC_000113,Hibch,5.5,4.3,5.1,8.8,5.6,7.3,0.4,0.027812727
XLOC_000114,Mstn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.422649731
XLOC_000115,Ormdl1,11.4,8.8,11.3,13.5,11.5,15.2,0.3,0.021411827
XLOC_000116,Osgepl1,4.1,3.1,3.5,3.6,3.3,3.7,0.0,0.995874497
XLOC_000117,Mir7681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000118,Ccdc150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243362951
XLOC_000119,Coq10b,38.5,28.4,34.7,21.5,22.6,29.6,-0.5,0.130662274
XLOC_000120,Hspe1,66.0,56.2,67.4,129.5,97.6,99.8,0.8,0.022289505
XLOC_000121,Mob4,27.1,18.8,24.6,31.2,22.5,29.3,0.2,0.005157825
XLOC_000122,Mars2,3.3,2.8,2.6,2.5,3.0,2.9,0.0,0.871012765
XLOC_000123,Plcl1,3.3,1.4,1.8,0.9,0.7,1.2,-0.7,0.133768839
XLOC_000124,9130227L01Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000125,9130024F11Rik,0.1,0.1,0.0,0.2,0.1,0.1,0.1,0.28774757
XLOC_000126,1700066M21Rik,1.6,1.8,2.1,1.9,1.6,2.2,0.0,0.667713863
XLOC_000127,9430016H08Rik,10.4,11.6,10.5,18.5,15.2,15.6,0.6,0.043254561
XLOC_000128,Spats2l,18.4,19.0,26.8,21.0,23.0,26.1,0.1,0.270222726
XLOC_000129,Sgol2,0.5,1.6,1.5,2.9,3.2,3.9,1.0,0.037919818
XLOC_000130,Aox1,1.5,0.5,1.2,1.0,0.6,0.6,-0.2,0.245771467
XLOC_000131,Aox3,5.2,1.1,2.1,0.7,0.4,0.8,-1.1,0.1184188
XLOC_000132,Aox4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.929011727
XLOC_000133,Aox2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211013751
XLOC_000134,Bzw1,78.8,61.4,75.8,143.8,94.2,117.8,0.7,0.012819897
XLOC_000135,Nif3l1,5.5,5.1,7.3,9.4,7.4,9.3,0.5,0.046472273
XLOC_000136,Ndufb3,62.9,59.1,69.1,96.3,71.5,72.0,0.3,0.188532351
XLOC_000137,Gm20257,1.2,1.3,1.8,1.2,0.7,0.8,-0.4,0.178151216
XLOC_000138,Cflar,17.0,15.7,18.8,11.8,10.6,14.3,-0.5,0.009999082
XLOC_000139,Casp8,13.0,13.8,18.0,19.9,16.4,22.8,0.4,0.066843584
XLOC_000140,Stradb,3.8,4.9,4.6,4.1,3.4,4.0,-0.1,0.417725275
XLOC_000141,Cdk15,0.0,0.2,0.7,0.0,0.1,0.1,-0.3,0.33690578
XLOC_000142,Fzd7,17.6,23.5,28.3,14.2,21.8,21.8,-0.3,0.080411444
XLOC_000143,Gm973,0.2,0.3,0.2,0.1,0.0,0.1,-0.2,0.058544437
XLOC_000144,Nop58,21.2,20.6,27.4,52.9,43.0,45.6,1.0,0.025263308
XLOC_000145,Snord70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000146,Snord11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000147,Bmpr2,33.8,22.3,30.4,18.6,13.1,24.9,-0.6,0.068259796
XLOC_000148,Fam117b,10.0,11.1,9.1,8.7,7.2,9.0,-0.3,0.263539538
XLOC_000149,Carf,2.1,1.2,2.1,1.3,1.2,2.0,-0.2,0.388307565
XLOC_000150,Nbeal1,19.2,7.7,17.2,6.5,5.1,10.4,-0.9,0.094225232
XLOC_000151,Cyp20a1,7.3,8.5,12.1,14.0,13.1,14.6,0.6,0.085531329
XLOC_000152,Abi2,4.2,4.6,3.8,4.3,4.0,4.9,0.1,0.696905159
XLOC_000153,Cd28,0.1,0.5,0.2,0.1,0.3,0.1,-0.1,0.156084095
XLOC_000154,Ctla4,0.1,0.3,0.1,0.0,0.2,0.1,-0.1,0.234252315
XLOC_000155,Icos,0.2,0.3,0.5,0.0,0.2,0.2,-0.2,0.057144709
XLOC_000156,9530026F06Rik,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.422649731
XLOC_000157,Pard3b,11.7,6.7,6.9,4.8,4.7,5.8,-0.6,0.170063484
XLOC_000158,Nrp2,45.2,54.2,64.3,14.1,21.0,26.1,-1.4,0.005803123
XLOC_000159,Ino80dos,1.3,0.9,1.7,0.6,0.5,1.2,-0.4,0.016513506
XLOC_000160,Eef1b2,79.2,89.8,95.1,196.3,131.4,134.6,0.8,0.095054139
XLOC_000161,Snora41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000162,Zdbf2,1.2,0.5,0.9,0.6,0.5,1.1,-0.1,0.743130916
XLOC_000163,Adam23,1.0,1.1,1.2,0.6,0.5,0.8,-0.4,0.015637824
XLOC_000164,Fastkd2,1.7,2.1,2.9,3.9,3.3,3.4,0.5,0.1237157
XLOC_000165,Gm13749,0.1,0.6,0.3,0.1,0.2,0.2,-0.2,0.287526492
XLOC_000166,Creb1,10.2,7.8,11.2,9.0,7.1,11.6,-0.1,0.337981263
XLOC_000167,Ccnyl1,9.8,6.2,8.9,8.2,7.2,7.7,-0.1,0.621617695
XLOC_000168,Pikfyve,4.4,2.8,4.2,3.0,2.5,3.6,-0.2,0.128499308
XLOC_000169,Pth2r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.422649731
XLOC_000170,Crygf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000171,Map2,4.2,2.6,5.6,5.3,3.6,6.9,0.3,0.012318967
XLOC_000172,Unc80,0.2,0.0,0.0,0.0,0.0,0.0,-0.1,0.25715738
XLOC_000173,Rpe,10.5,8.5,13.4,16.1,11.1,15.2,0.4,0.085596929
XLOC_000174,Cps1,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.144165763
XLOC_000175,Spag16,0.5,0.2,0.3,0.0,0.0,0.1,-0.3,0.079685466
XLOC_000176,Vwc2l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000177,Atic,14.4,13.9,22.9,37.3,30.7,37.8,1.0,0.02885679
XLOC_000178,Apol7d,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.112870341
XLOC_000179,Gm8883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000180,Tmem169,0.0,0.1,0.0,0.2,0.1,0.0,0.1,0.52664417
XLOC_000181,Xrcc5,9.7,8.3,10.1,20.8,16.4,17.7,0.9,0.007657896
XLOC_000182,Smarcal1,5.4,5.6,5.9,3.9,4.1,4.9,-0.3,0.023528082
XLOC_000183,Rpl37a,617.3,905.5,754.0,918.9,812.9,716.4,0.1,0.668079538
XLOC_000184,Igfbp2,313.9,731.9,1153.8,584.6,1623.6,981.0,0.6,0.291528575
XLOC_000185,1700027A15Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000186,D530049I02Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000187,Rufy4,1.5,1.3,1.4,0.7,0.5,1.3,-0.4,0.14827956
XLOC_000188,Cxcr2,1.2,2.1,1.3,0.6,0.7,0.6,-0.6,0.037589821
XLOC_000189,Arpc2,163.4,150.7,170.8,303.6,206.6,217.0,0.6,0.077827207
XLOC_000190,Gpbar1,0.1,0.1,0.0,0.2,0.1,0.0,0.1,0.412841752
XLOC_000191,Pnkd,22.0,25.8,24.4,26.3,23.8,25.1,0.1,0.636190448
XLOC_000192,Catip,0.6,0.2,0.5,0.2,0.4,0.2,-0.2,0.356911058
XLOC_000193,Slc11a1,0.7,6.1,3.3,0.4,3.1,1.2,-0.7,0.083663964
XLOC_000194,Ctdsp1,59.3,61.4,55.5,57.7,57.7,57.9,0.0,0.669410687
XLOC_000195,Mir26b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000196,Vil1,0.2,0.1,0.1,0.4,0.0,0.1,0.0,0.723173594
XLOC_000197,Rqcd1,6.1,8.7,8.4,15.3,14.8,14.7,0.9,0.029630431
XLOC_000198,Plcd4,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.028697764
XLOC_000199,Bcs1l,2.4,3.9,5.0,4.8,3.8,4.6,0.2,0.516802441
XLOC_000200,Stk36,2.2,3.9,5.2,1.3,1.1,2.0,-0.9,0.059688537
XLOC_000201,Ttll4,9.5,8.5,11.1,5.2,5.4,7.3,-0.6,0.012229382
XLOC_000202,Cyp27a1,0.8,3.0,3.0,1.0,0.8,1.7,-0.5,0.305936306
XLOC_000203,Wnt6,0.2,0.7,0.3,0.6,1.2,1.1,0.5,0.043307705
XLOC_000204,Wnt10a,0.2,0.1,0.0,27.4,7.6,11.6,3.7,0.016342364
XLOC_000205,Cdk5r2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.565972705
XLOC_000206,Fam134a,35.4,32.5,31.8,30.1,33.2,31.7,-0.1,0.490857092
XLOC_000207,Zfand2b,19.8,18.7,13.8,15.7,15.4,14.1,-0.2,0.219775524
XLOC_000208,Ankzf1,9.5,8.4,8.0,6.4,6.8,6.1,-0.4,0.03708064
XLOC_000209,Stk16,9.7,9.5,10.6,12.4,11.4,12.0,0.2,0.036805395
XLOC_000210,Dnajb2,24.0,23.1,23.2,11.8,19.3,17.2,-0.5,0.132756976
XLOC_000211,Des,5.9,17.0,10.7,7.0,7.8,8.0,-0.4,0.38755034
XLOC_000212,Speg,2.0,5.5,4.4,3.8,4.8,4.5,0.2,0.549556027
XLOC_000213,Gmppa,18.4,16.3,19.6,19.6,18.0,17.3,0.0,0.879188898
XLOC_000214,Asic4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.422649731
XLOC_000215,Tmem198,1.7,1.7,1.6,1.2,1.8,1.4,-0.1,0.376853865
XLOC_000216,Inha,3.8,5.2,4.0,4.9,6.8,5.2,0.3,0.00142018
XLOC_000217,Stk11ip,6.6,7.2,6.4,8.4,8.0,8.5,0.3,0.070458088
XLOC_000218,Slc4a3,5.7,5.9,8.9,4.3,6.5,6.7,-0.2,0.360970876
XLOC_000219,Gm17751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000220,Mir6343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000221,Sgpp2,1.7,1.6,4.5,3.2,2.3,4.9,0.4,0.145797703
XLOC_000222,Mogat1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.770711589
XLOC_000223,"Acsl3,Utp14b",12.8,7.8,6.9,10.9,10.2,8.8,0.1,0.496065271
XLOC_000224,Kcne4,6.7,10.1,5.0,3.6,4.2,3.1,-0.8,0.038001903
XLOC_000225,Mrpl44,8.1,10.1,11.0,19.1,16.0,14.0,0.7,0.10280262
XLOC_000226,1700016L21Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000227,Nyap2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000228,Mir6344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000229,Rhbdd1,11.5,8.1,10.9,10.2,10.0,11.1,0.0,0.744758386
XLOC_000230,Col4a3,478.8,272.5,322.4,27.0,68.8,80.4,-2.7,0.062638097
XLOC_000231,Mff,38.0,28.9,33.2,33.5,28.7,33.6,-0.1,0.467446921
XLOC_000232,Agfg1,25.9,27.0,26.8,22.3,29.8,26.9,0.0,0.856778457
XLOC_000233,Ccl20,0.0,0.1,0.1,3.6,5.6,7.0,2.6,0.005811625
XLOC_000234,Daw1,0.2,0.2,0.0,0.1,0.2,0.2,0.1,0.650538406
XLOC_000235,Mir5126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000236,Fbxo36,2.3,2.4,3.1,4.6,4.2,3.3,0.5,0.142607197
XLOC_000237,Gm7609,0.4,0.2,0.6,0.1,0.2,0.6,-0.1,0.38065356
XLOC_000238,Sp140,5.0,5.5,6.0,4.1,3.8,4.4,-0.3,0.025967984
XLOC_000239,Sp100,4.1,7.4,11.9,3.1,5.2,5.1,-0.6,0.129225643
XLOC_000240,Mir8096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000241,9930111H07Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000242,Cab39,114.0,60.7,68.4,97.3,80.4,94.0,0.2,0.438223828
XLOC_000243,Itm2c,160.9,211.2,204.6,121.7,135.1,108.7,-0.6,0.047310647
XLOC_000244,4933407L21Rik,0.1,0.0,0.1,0.0,0.0,0.0,-0.1,0.243756848
XLOC_000245,Spata3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000246,2810459M11Rik,0.0,0.1,0.1,2.0,1.1,0.6,1.0,0.079682238
XLOC_000247,Psmd1,43.0,33.6,42.7,67.0,54.2,58.0,0.6,0.016119503
XLOC_000248,Armc9,3.8,3.1,3.6,4.8,4.7,4.9,0.4,0.024958063
XLOC_000249,B3gnt7,2.6,5.0,5.4,4.6,4.4,7.2,0.3,0.354804537
XLOC_000250,C130036L24Rik,0.4,0.9,0.7,1.0,0.6,0.4,0.0,0.979394805
XLOC_000251,1700019O17Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000252,Ptma,671.9,916.7,947.6,2604.0,1901.3,2120.9,1.4,0.039329905
XLOC_000253,Cops7b,8.0,8.8,8.0,8.9,9.5,9.7,0.2,0.069067027
XLOC_000254,Dis3l2,9.3,7.7,7.6,8.7,8.3,9.3,0.1,0.437442699
XLOC_000255,Akp3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.422649731
XLOC_000256,Prss56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000257,Chrnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000258,Chrng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.422649731
XLOC_000259,Eif4e2,32.4,34.6,34.0,43.0,38.8,35.3,0.2,0.186211793
XLOC_000260,Efhd1,0.1,0.2,0.0,0.4,0.3,0.5,0.3,0.112120209
XLOC_000261,Gigyf2,12.1,10.5,13.7,11.0,11.0,13.2,0.0,0.573673123
XLOC_000262,3110079O15Rik,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.422649731
XLOC_000263,Neu2,1.7,0.3,1.2,1.6,1.2,1.6,0.3,0.308982526
XLOC_000264,Inpp5d,3.0,7.8,5.3,1.9,3.0,2.7,-0.8,0.056885054
XLOC_000265,Atg16l1,11.9,12.5,10.6,10.0,11.1,9.0,-0.2,0.0137978
XLOC_000266,Scarna6,0.0,0.0,1.9,0.0,0.7,3.8,0.5,0.183902452
XLOC_000267,Sag,0.3,0.1,0.1,0.0,0.1,0.0,-0.2,0.263912825
XLOC_000268,Dgkd,24.1,18.2,19.4,10.7,12.6,14.3,-0.7,0.089057847
XLOC_000269,"Ugt1a1,Ugt1a10,Ugt1a2,Ugt1a5,Ugt1a6a,Ugt1a6b,Ugt1a7c,Ugt1a9",5.2,6.1,7.7,4.0,3.3,4.7,-0.5,0.053424517
XLOC_000270,Mroh2a,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.826988713
XLOC_000271,Trpm8,0.1,0.1,0.1,0.0,0.0,0.0,-0.1,0.005966106
XLOC_000272,Spp2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.422649731
XLOC_000273,Gm19589,0.0,0.0,0.0,0.5,0.3,0.3,0.4,0.016858426
XLOC_000274,2410088K16Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000275,1700067G17Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
XLOC_000276,Sh3bp4,47.1,45.4,54.1,42.8,45.3,47.0,-0.1,0.186894841
XLOC_000277,Agap1,7.0,6.6,5.8,6.6,5.0,5.6,-0.1,0.258121342
XLOC_000278,Ackr3,21.0,26.7,15.2,30.5,25.9,25.6,0.4,0.223021079
XLOC_000279,Cops8,23.4,24.9,23.8,33.2,32.6,30.4,0.4,0.012060044
