"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"21","Cushing syndrome",0.0134213012280666,0.0459069507914552,0.302385757196212,1.50547485179777,5341,78,"LDLR;KMT2A;CACNA1D;ITPR2;WNT4;CAMK2B;ADCY9;CREB3L2;PLCB1;PBX1;BRAF;FH1;GNAQ;CREB3;CCND1;GNAS;ARNT;CDKN1B;ATF2;FZD3;PRKACB;GSK3B;KMT2D;RASD1;PRKACA;GNAI1;APC;CREB1;ASH2L;PDE8A;SP1;AXIN1;MAPK1;GNAI2;CDKN1A;RAP1B"
"22","Dilated cardiomyopathy (DCM)",0.00723223194522496,0.0299607965210308,0.437586037008719,1.73967743811454,3152,30,"ACTG1;CACNA2D1;CACNA1D;ADCY9;CACNB2;GNAS;ATP2A2;SLC8A1;ACTB;ITGA6;PRKACB;ITGAV;PRKACA;DAG1"
"23","Dopaminergic synapse",2.53453943616636e-05,0.000508597580190716,0.403941989877286,2.03573814042703,9,83,"DDC;CACNA1D;ITPR2;CACNA1A;CAMK2B;COMT;CREB3L2;PPP1CB;PLCB1;GNAQ;CREB3;GNG5;GRIA2;FOS;MAPK10;GNAS;CALM3;GNB2;GNB1;AKT3;ATF2;CLOCK;MAOB;PRKACB;CALM2;GNAO1;ARRB2;GSK3B;PPP2R5C;KIF5C;PPP3CA;PPP2R5A;PRKACA;MAPK9;GNAI1;PPP2R2A;PPP2CA;CREB1;CALM1"
"24","Estrogen signaling pathway",7.44023630190495e-06,0.000229904372002078,0.456047520023185,2.22064231896155,2,70,"ITPR2;PIK3R1;PIK3R3;ADCY9;CREB3L2;SHC1;PLCB1;GNAQ;KRT18;CREB3;KRAS;FOS;GNAS;SHC2;HSP90AA1;CALM3;JUN;AKT3;ATF2;PRKACB;CALM2;GNAO1;HSP90B1;CTSD;NCOA2;PRKACA;GABBR2;GNAI1;CREB1;CALM1;RAF1;NCOA1;PIK3CA;NCOA3;SOS1;SP1;HSP90AB1;MAPK1;SOS2;GNAI2;HSPA8"
"25","Fanconi anemia pathway",0.00762290423415743,0.0310066780335323,-0.455899922656733,-1.72391576183611,4291,29,"ERCC4;EME2;CENPS;MLH1;FAN1;MUS81;ERCC1;WDR48;FANCF;TOP3B;FAAP100;ATR;FAAP24;ATRIP"
"26","Fatty acid biosynthesis",0.00309342132398433,0.0157816918393099,-0.710491812960652,-1.89739574105504,1649,9,"ACSL1;FASN;OXSM"
"27","Fluid shear stress and atherosclerosis",0.00338079415814941,0.016413210348435,0.327449032633105,1.64214751945841,1337,81,"ACTG1;PIK3R1;PIK3R3;HMOX1;GSTT1;BMPR1A;GSTO1;FOS;MAPK10;HSP90AA1;SUMO3;ACTB;CALM3;JUN;AKT3;GSTP1;TXN1;ARHGEF2;SUMO2;IL1R1;ITGAV;CALM2;SUMO1;HSP90B1;PRKAA1;RHOA;PIAS4;ACVR2A;GSTM1;MEF2A;VEGFA;MAPK9;CALM1;PIK3CA;CHUK;ACVR1;HSP90AB1;IKBKB;MAP3K7;PDGFA;SQSTM1"
"28","Focal adhesion",0.000731762135490986,0.00564770263545607,0.328588754012431,1.72194081591729,279,102,"ACTG1;IGF1R;COL6A6;PIK3R1;PIK3R3;SHC1;PPP1CB;BRAF;PPP1R12A;ROCK1;PAK3;ARHGAP5;CCND1;MAPK10;SHC2;ACTB;CDC42;JUN;AKT3;ITGA6;PDPK1;TLN1;RASGRF1;ITGAV;GSK3B;DIAPH1;MET;TNR;RHOA;PTEN;XIAP;SPP1;PAK2;BCAR1;VEGFA;ROCK2;MAPK9;MYL12B;RAF1;PIK3CA;PRKCA;SOS1;CRKL;CCND2;PRKCB;MAPK1;SOS2;PDGFA"
"29","FoxO signaling pathway",5.12006553683887e-06,0.000229904372002078,0.416761364005717,2.12928133705006,1,89,"IRS2;BNIP3;IGF1R;INS1;PIK3R1;PIK3R3;SETD7;ARAF;BRAF;ATM;G6PC2;CREBBP;EP300;USP7;KRAS;CCND1;MAPK10;SOD2;FBXO32;FOXO1;AKT3;CDKN1B;PDPK1;MDM2;STK11;FOXO6;PRKAA1;SMAD4;PTEN;FOXO3;BCL2L11;CDKN2D;MAPK9;INSR;CSNK1E;PCK2;GABARAPL1;RAF1;GABARAPL2;PIK3CA;SIRT1;PRKAB2;NLK;SOS1;CHUK;STAT3;CCND2;INS2;IKBKB;MAPK1;SOS2"
"30","GABAergic synapse",0.000526212393354288,0.00488097862023363,0.462983642202708,1.9708899578742,224,39,"CACNA1D;GLUL;CACNA1A;ADCY9;ABAT;GLS;GNG5;GABRB3;GNB2;GNB1;PRKACB;GNAO1;PRKACA;GABBR2;GAD1;GNAI1;NSF;GABARAPL1;GABARAPL2;PRKCA;SLC12A5;PRKCB;GNAI2;GNG12;HAP1"
"31","Gap junction",0.00233881915831091,0.0132827276726714,0.397642649643098,1.78044561284272,981,48,"ITPR2;ADCY9;PLCB1;MAP3K2;GNAQ;KRAS;TUBA1C;TUBB5;GNAS;TUBB2A;TUBA1B;TUBB3;PRKACB;GJD2;TJP1;PRKACA;GNAI1;RAF1;PRKCA;SOS1;PRKCB;MAPK1;SOS2;PDGFA;GNAI2"
"32","Glucagon signaling pathway",3.70305452624355e-05,0.000658938045813051,0.424522469122845,2.05491898674353,14,68,"GCGR;PGAM1;ITPR2;SLC2A1;CAMK2B;CREB3L2;PLCB1;SLC2A2;G6PC2;GNAQ;CREBBP;EP300;CREB3;PFKL;GYS1;GNAS;GCK;FOXO1;CALM3;PDE3B;AKT3;ATF2;PRKACB;CALM2;PKM;PRKAA1;PPP4R3A;PPP3CA;PRKACA;PPP4R3B;PCK2;CREB1;CALM1;SIRT1;PRKAB2;PPP3R1"
"33","Glutamatergic synapse",9.72702642429764e-05,0.00138796025176953,0.468390005140611,2.07611720958054,40,46,"CACNA1D;ITPR2;GLUL;CACNA1A;ADCY9;GLS;PLCB1;GNAQ;GNG5;GRIA2;GNAS;GNB2;GNB1;GRK3;PRKACB;GNAO1;TRPC1;PPP3CA;PRKACA;DLG4;GNAI1;PRKCA;PPP3R1;PRKCB;MAPK1;GNAI2;GNG12"
"34","Glycolysis / Gluconeogenesis",0.00774099784803531,0.0310672046967817,0.40024636577189,1.69235070691885,3312,38,"TPI1;PFKP;PGAM1;ENO1;PGK1;ALDOA;GPI1;GAPDH;ADH1;G6PC2;PGM1;PFKL;GCK;PFKM;PKM;ACSS2;FBP2"
"35","HIF-1 signaling pathway",0.000896195576319868,0.00642273496362572,0.379971692162663,1.80919220399866,365,63,"EIF4EBP1;IL6RA;ENO1;PGK1;ALDOA;IGF1R;SLC2A1;INS1;PIK3R1;PIK3R3;GAPDH;CAMK2B;HMOX1;CREBBP;EP300;EGLN1;PFKL;PDK1;ARNT;TFRC;AKT3;CDKN1B"
"36","Hedgehog signaling pathway",0.000649665207372229,0.00541972184183914,0.542944007776795,2.05235715286457,286,25,"CSNK1A1;CUL3;CCND1;CSNK1G2;GRK3;BTRC;SPOP;PRKACB;ARRB2;GSK3B;CSNK1G3;CUL1;CSNK1G1;PRKACA;CSNK1E;CDON;CCND2;SPOPL"
"37","Hepatocellular carcinoma",0.00681362517539833,0.0292985882542128,0.296788381474066,1.54081480651957,2626,97,"ACTG1;SMARCC2;WNT4;IGF1R;PIK3R1;PIK3R3;PBRM1;CSNK1A1;SHC1;ARAF;SMARCA4;HMOX1;BRAF;GSTT1;ARID1A;GSTO1;KRAS;CCND1;SHC2;ACTB;LRP6;AKT3;FZD3;ARID1B;GSTP1;GSK3B;ARID2;MET;SMARCC1;SMAD4;TXNRD1;PTEN;SMARCD1;GSTM1;SMARCA2;APC;RAF1;PIK3CA;PRKCA;SOS1;PRKCB;AXIN1;MAPK1;SOS2"
"38","Herpes simplex virus 1 infection",0.000196726173812114,0.00236858313269786,-0.31150169474012,-1.68213810422756,129,190,"ZFP119B;IRF7;ZFP780B;ZFP182;NXF1;EIF2AK4;ZFP51;TAB1;ZFP952;TRADD;ZFP74;ZFP944;ZFP707;ZFP426;ZFP90;SOCS3;IFNGR1;ZFP597;JAK2;ZFP275;DAXX;TICAM1;BST2;ZFP26;ZFP959;ZFP472;EIF2AK2;FADD;TBK1;SRSF1;H2-Q4;AKT1;EIF2B4;ZFP868;ZFP160;ZFP81;IRF9;STAT2;IKBKG;EIF2B2;GM12258;ZFP180;B2M;TRP53;HCFC2;IFNAR1;IFNGR2;ZFP788;SRC;IFIH1;ZFP719;ZFP13;PML;CASP3;ZFP623;TRAF6;ZFP65;ZFP746;NECTIN1;TYK2;EIF2B1;IRF3;ZFP235;A430033K04RIK;BID;ZFP605;ZFP930;ZFP954;ZFP316;ZFP317;ZFP30;ZFP946;ZFP961;ZFP715;SRSF4;MTOR;DDX58;ZFP12;ZFP37;ZFP777;ZFP113;ALYREF2;ZFP984"
"39","Human cytomegalovirus infection",0.000567555653515539,0.00488097862023363,0.302711921031721,1.6704579366585,205,138,"EIF4EBP1;IL6RA;ITPR2;CYCS;PIK3R1;PIK3R3;ADCY9;CREB3L2;PLCB1;ROCK1;GNAQ;JAK1;CREB3;KRAS;GNG5;CALR;CCND1;GNAS;AKAP13;CALM3;GNB2;GNB1;AKT3;ATF2;H2-D1;IL1R1;TAPBP;PRKACB;ITGAV;CALM2;GNAO1;MDM2;GSK3B;H2-Q2;ARHGEF12;RHOA;PPP3CA;PRKACA;BCAR1;VEGFA;ROCK2;GNAI1;CREB1;CALM1;RAF1;PIK3CA;PTK2B;PRKCA;ARHGEF11;PPP3R1;SOS1;SP1;NFATC3;CHUK;CRKL;STAT3;PRKCB;IKBKB;MAPK1;SOS2;GNAI2;H2-K1;GNG12;CDKN1A"
"40","Huntington disease",2.77072781478239e-06,0.000229904372002078,0.384615436942781,2.13219867250656,0,142,"UQCRQ;CYCS;NDUFC2;CREB3L2;PLCB1;GNAQ;GPX1;CREBBP;EP300;CREB3;COX5A;NDUFB9;NDUFA12;NDUFV2;VDAC2;COX6A2;ATP5G1;NDUFS7;SOD2;SDHD;ATP5B;SOD1;COX8A;ATP5H;COX7A2L;COX6A1;SDHA;NDUFC1;NDUFB11;CLTC;HTT;BBC3;POLR2A;ATP5A1;DLG4;ATP5J;UQCR11;CREB1;DCTN1;DCTN4;NDUFA2;ATP5E;TAF4;HIP1;NDUFA1;SP1;DNAL1;VDAC1;VDAC3;NDUFA5;CLTA;NDUFB10;NDUFB6;NDUFA8;ATP5F1;POLR2F;SDHB;NDUFA6;HAP1;ATP5C1;NDUFAB1;UQCRH;NDUFA7;COX5B;UQCRB;COX7A2;SLC25A4;POLR2C;ATP5G2;BAX;NRF1;NDUFS3;NDUFV3;CYC1;COX7C;NDUFA10;POLR2I;NDUFS4;POLR2E;POLR2G;POLR2J;NDUFA3;NDUFS6;NDUFA9;AP2M1;CLTB;UQCR10;NDUFS2;UQCRC2;SLC25A5;NDUFB7;NDUFB4;COX7B;ATP5D;AP2B1;AP2A1;UQCRC1;NDUFB5;POLR2L;AP2A2;UQCRFS1;AP2S1;NDUFS8;NDUFA4;NDUFA11;PLCB4;NDUFB8;COX4I1;NDUFB3;ATP5O;COX6B1;ATP5G3;POLR2H;HDAC1;IFT57;NDUFS5;TBPL1;COX6C;NDUFB2;NDUFV1;PPARG;NDUFA13;DCTN2"
"41","Inflammatory mediator regulation of TRP channels",0.00927676464026116,0.0344729155150445,0.384020385948505,1.65516485486093,3949,41,"ITPR2;PIK3R1;PIK3R3;CAMK2B;ADCY9;PPP1CB;PLCB1;GNAQ;MAPK10;GNAS;PRKCE;CALM3;IL1R1;PRKACB;CALM2;PRKACA;MAPK9;PLA2G6;CALM1;PIK3CA;PRKCA;PRKCB"
"42","Insulin resistance",0.000121268218074904,0.00153424988394123,0.40214584433944,1.95238407912644,48,69,"MLXIPL;IRS2;SLC2A1;TRIB3;INS1;PIK3R1;PIK3R3;PTPRF;CREB3L2;PPP1CB;SLC2A2;G6PC2;CREB3;MAPK10;GYS1;PRKCE;SREBF1;FOXO1;AKT3;PDPK1;GSK3B;PRKAA1;PTEN;MAPK9;INSR;PCK2;PTPA;GFPT1;CREB1;PTPN1;MLXIP;PIK3CA;OGT;NR1H3;PRKAB2;STAT3;INS2;PRKCB;IKBKB"
"43","Insulin secretion",4.79887898186983e-06,0.000229904372002078,0.507480148852955,2.31490875857639,1,52,"PCLO;GLP1R;CACNA1D;SLC2A1;INS1;RAPGEF4;CAMK2B;ADCY9;CREB3L2;FFAR1;RIMS2;PLCB1;KCNMB2;SLC2A2;GNAQ;CREB3;ABCC8;GNAS;GCK;SNAP25;CHRM3;ATF2;PDX1;PRKACB;KCNN3;KCNMA1;PRKACA;CREB1;RAB3A;PRKCA;INS2;PRKCB;ATP1A1;ATP1B1"
"44","Insulin signaling pathway",1.03510292804741e-05,0.000259638317785225,0.39724582661854,2.05875708382396,3,96,"EIF4EBP1;IRS2;INS1;PIK3R1;PIK3R3;PTPRF;PRKAR1B;SHC1;PPP1CB;ARAF;BRAF;G6PC2;KRAS;MAPK10;GYS1;SHC2;GCK;SREBF1;FOXO1;SOCS2;CALM3;PDE3B;AKT3;PDPK1;EXOC7;PRKACB;CALM2;GSK3B;RPTOR;PRKAA1;FBP2;PRKACA;PRKCI;MAPK9;INSR;PCK2;CALM1;PTPN1;SOCS4;RAF1;PIK3CA;INPP5K;PRKAR1A;PRKAB2;INPPL1;FLOT1;SOS1;CRKL;INS2;IKBKB;MAPK1;SOS2;CBL"
"45","Long-term depression",0.000324241448710793,0.00336540262282581,0.496218051814856,2.03952722328941,139,34,"ITPR2;IGF1R;CACNA1A;PLCB1;ARAF;BRAF;GNAQ;KRAS;GRIA2;GNAS;GNAO1;GNAZ;GNAI1;PPP2CA;RAF1;PRKCA;PRKCB;MAPK1;GNAI2"
"46","Long-term potentiation",0.000536379719200512,0.00488097862023363,0.449885103284163,1.95122363887181,227,42,"ITPR2;CAMK2B;PPP1CB;PLCB1;ARAF;BRAF;GNAQ;CREBBP;EP300;KRAS;GRIA2;CALM3;PRKACB;CALM2;PPP1R1A;PPP3CA;PRKACA;CALM1;RAF1;PRKCA;PPP3R1;PRKCB;MAPK1"
"47","Longevity regulating pathway",4.99382014756739e-06,0.000229904372002078,0.452490646981638,2.22854369518009,1,74,"EIF4EBP1;IRS2;IGF1R;INS1;PIK3R1;PIK3R3;ADCY9;CREB3L2;RB1CC1;SESN3;CREB3;KRAS;SOD2;FOXO1;EHMT2;FOXA2;AKT3;ATF2;SOD1;PRKACB;ATG101;STK11;ATG13;RPTOR;PRKAA1;FOXO3;ADIPOR1;PRKACA;INSR;CREB1;EHMT1;ULK1;PIK3CA;APPL1;SIRT1;PRKAB2"
"48","Lysine degradation",0.00788407567021689,0.0312250891675695,0.388886944871862,1.67614019260025,3356,41,"KMT2A;KMT2E;KMT2C;SETD2;SETD7;PRDM2;ASH1L;NSD1;HADH;NSD3;EHMT2;SETD1B;KMT2D;NSD2;KMT2B;KMT5A;ACAT1;SETD1A;KMT5B;EHMT1"
"49","Mannose type O-glycan biosynthesis",0.00249054073470952,0.0137162159914735,-0.62511471346651,-1.92423510238881,1351,14,"B4GAT1;B4GALT3;LARGE1;B4GALT1;FKTN;POMT1;POMK;FKRP"
"50","Maturity onset diabetes of the young",4.68582649053909e-05,0.000742333565080141,0.655626726038322,2.32157915654971,20,20,"INS1;RFX6;PAX6;HNF4A;SLC2A2;NKX6-1;NEUROD1;NKX2-2;GCK;FOXA2;IAPP;PDX1"
"51","Melanogenesis",0.00443872796089545,0.0205547248650697,0.385251852122232,1.71646824747943,1866,47,"WNT4;CAMK2B;ADCY9;DCT;CREB3L2;PLCB1;GNAQ;CREBBP;EP300;CREB3;KRAS;GNAS;CALM3;FZD3;PRKACB;CALM2;GNAO1;GSK3B;PRKACA;GNAI1;CREB1;CALM1;RAF1;PRKCA;PRKCB;MAPK1;GNAI2"
"52","MicroRNAs in cancer",0.00204109436970804,0.0120464589271004,0.338000802356621,1.69090892350704,808,80,"DNMT3A;IRS2;DICER1;GLS;SHC1;HMOX1;ATM;ROCK1;CREBBP;EP300;MCL1;KRAS;CCNG1;PDCD4;CCND1;DDIT4;PRKCE;MDM4;MARCKS;CDKN1B;FZD3;RDX;MDM2;MET;RPTOR;TNR;RHOA;PTEN;VEGFA;BCL2L11;APC;RAF1;HNRNPK;ZEB1;SIRT1;PIM1;PRKCA;SOS1;CRKL;STAT3;CCND2;PRKCB;IKBKB;SOS2;PDGFA;CDKN1A;BMI1"
"53","Morphine addiction",0.000666211654976904,0.00541972184183914,0.466343826347549,1.95910215954406,285,37,"CACNA1A;ADCY9;GNG5;GABRB3;GNAS;GRK5;GNB2;PDE3B;GNB1;GRK3;PRKACB;PDE1C;GNAO1;ARRB2;PRKACA;GABBR2;GNAI1;PRKCA;PDE8A;PRKCB;GNAI2;PDE10A;GNG12"
"54","Non-alcoholic fatty liver disease (NAFLD)",3.75317008830673e-05,0.000658938045813051,0.355723677190506,1.91561529213306,13,119,"MLXIPL;IL6RA;IRS2;UQCRQ;CYCS;INS1;PIK3R1;PIK3R3;NDUFC2;COX5A;NDUFB9;NDUFA12;NDUFV2;COX6A2;MAPK10;NDUFS7;SREBF1;CDC42;JUN;AKT3;SDHD;COX8A;COX7A2L;COX6A1;SDHA;GSK3B;NDUFC1;NDUFB11;PRKAA1;ADIPOR1;BCL2L11;MAPK9;INSR;UQCR11;MLXIP;PIK3CA;NDUFA2;NR1H3;XBP1;PRKAB2;NDUFA1;INS2;IKBKB;DDIT3;NDUFA5;NDUFB10;NDUFB6;NDUFA8;SDHB;NDUFA6;NDUFAB1;UQCRH;NDUFA7;COX5B;UQCRB;COX7A2;EIF2S1;BAX;NDUFS3;NDUFV3;CYC1;COX7C;NDUFA10;NDUFS4;TNFRSF1A;RAC1;ERN1;NDUFA3;NDUFS6;NDUFA9;UQCR10;NDUFS2;UQCRC2;NDUFB7;NDUFB4;COX7B"
"55","Non-homologous end-joining",0.0139726405659955,0.0472557843861196,-0.629069915425859,-1.73969920466912,7488,10,"XRCC4;POLM;XRCC6;MRE11A;RAD50"
"56","Olfactory transduction",0.00148568042837119,0.00912632263142303,0.598362662803096,2.01696089437599,671,17,"CAMK2B;RGS2;SLC8A1;CALM3;GNB1;GRK3;PRKACB;PDE1C;CALM2;ARRB2;PRKACA;CALM1"
