Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
REST K562 hg19,45/2834,0.0029111977783712,0.125028283534258,0,0,1.50508216076284,8.78846171793158,NCKAP1;RAB3C;SNAP25;AHCYL1;KCNC1;DIRAS1;ATP2A2;ARRB1;DNAJC27;ELAVL3;SCAMP5;PURA;FAM168B;ACTR1B;ATCAY;CAMK2N2;NCDN;ATP6V0E2;SCN1A;ATP6V0A1;BEND6;GABRA1;HSPA4;APLP2;IQSEC3;TMOD2;GOT2;CADPS;LHFPL4;ELOVL6;SYP;MAPK8IP2;EML2;SYN1;CIT;DISP2;PTP4A2;ETNK1;SCN8A;MADD;GNB1;ATP6V1B2;TRIM37;MAPRE2;TSPYL4
CTCF pancreas hg19,34/2000,0.00358112338482347,0.146109834100797,0,0,1.61137440758294,9.07538753208899,NCKAP1;NAPB;RTN3;LPGAT1;NDRG3;KCNC1;CAB39;WBP2;PITPNA;HSPA4L;ENDOD1;ACTB;CX3CL1;PURA;SYNGR1;DPP6;TIMP2;IDS;ATP6V0E2;ZBTB7A;ABCA2;GOT2;ANK3;SYP;AP2B1;SCAMP1;FAM126B;DNM1;DISP2;PTP4A2;NCEH1;NEDD4;EEF1A2;CDS2
CTCF BE2C hg19,36/2174,0.00416076667476493,0.16167550507658,0,0,1.56960546222701,8.60466492391152,NCKAP1;NAPB;AHCYL1;LPGAT1;KCNC1;CAB39;STAU2;WBP2;HSPA4L;GHITM;CX3CL1;TTBK2;DPP6;OPA1;SLC22A17;KIF5A;NEFL;ATP6V0E2;EPHA5;SLC36A1;ABCA2;SLC6A17;GOT2;SCAMP1;FAM126B;MAPK8IP3;SYN1;DNM1;NCEH1;NEDD4;RCAN2;MAP1A;EEF1A2;TRIM37;SELT;CDS2
CTCF embryonic fibroblast mm9,33/2000,0.00644308681322865,0.194724401466466,0,0,1.56398104265403,7.88988950952503,LPGAT1;NDRG3;CAB39;CLSTN3;RNF14;ARRB1;ACTB;MAPK9;SYNGR1;PEG13;FAM168A;SPOCK2;TIMP2;NEFL;MAP4;YWHAG;BEND6;SLC36A1;ABCA2;SLC6A17;ATP6AP1;GOT2;ELOVL6;HSPA12A;SYN1;SYT7;DNM1;DISP2;DNM3;NCEH1;NOVA1;SCN8A;CNTN1
RCOR1 IMR-90 hg19,32/1930,0.00681332160412347,0.198559658177313,0,0,1.57159344841981,7.84048408822457,MEG3;NCKAP1;RAB3C;SNAP25;TTYH3;KCNC1;STAU2;DIRAS1;HSPA4L;ELAVL3;SCAMP5;LARP1;NACC2;KIF1B;BEND6;IQSEC3;LHFPL4;SYP;MAPK8IP2;HSPA12A;EML2;SYN1;AES;DISP2;SYNJ1;SYT11;NEDD4;SCN8A;DNAJC5;ATP6V1B2;CALR;INA
SP2 H1-hESC hg19,22/1184,0.00713077196811996,0.200645169861582,0,0,1.76123991289868,8.70640027858415,ATP6AP1;GOT2;KCNAB2;DNAJC27;TTBK2;CIT;MECP2;EPM2AIP1;MAPK9;TMX2;PPP2R1A;NOVA1;OGDH;CNTN1;CAMTA1;KIF1B;MAP4;CALR;ZBTB7A;ENPP5;CDK5R2;NFE2L1
CTCF GM12891 hg19,33/2000,0.00644308681322865,0.202213801522868,0,0,1.56398104265403,7.88988950952503,NCKAP1;PYGB;RTN3;SLC24A3;KCNC1;CAB39;PITPNA;ENDOD1;ENO2;ACTB;SYNGR1;KIF5A;PSAP;TIMP2;ATP6V0E2;ZBTB7A;SLC36A1;GOT2;ANK3;SYP;SCAMP1;FAM126B;DNM1;CLIP3;PTP4A2;NCEH1;NEDD4;IMPAD1;DNAJC5;EEF1A2;TRIM37;CDK5R2;CDS2
TCF3 myocyte mm9,33/1987,0.00585156399191412,0.207603313800083,0,0,1.57421342994869,8.09310413641333,ATP6V1A;NCKAP1;SNAP25;HSPA4L;ENDOD1;ATP2A2;ACTB;PURB;PURA;FAM168B;CAMK2N2;NACC2;PSAP;TIMP2;MGAT3;CEP170B;KIF1B;ZYG11B;H3F3B;DST;HSPA12A;SYN1;PGM2L1;AES;ENAH;CLIP3;DISP2;PTP4A2;PKM;MAP1B;GNB1;TRIM37;NFE2L1
RFX5 SK-N-SH hg19,20/1018,0.00565286255195346,0.20966981101791,0,0,1.86221473198074,9.63806593313211,MEG3;CNTNAP2;CBX6;SYT1;ATP6AP1;PITPNA;ATP1A3;ABAT;KCNAB2;EML2;SYT7;CIT;ELAVL3;EPM2AIP1;ACTR1B;NOVA1;CAMTA1;TSPYL4;ATP6V0A1;CDS2
TBP H1-hESC hg19,33/2000,0.00644308681322865,0.210302353583783,0,0,1.56398104265403,7.88988950952503,SNAP25;CNTNAP2;LPGAT1;PTPRS;PITPNA;HSPA4L;ATP1A3;SCAMP5;PURB;FAM168B;ACTR1B;OPA1;PPP2R1A;SLC22A17;DZANK1;FUT9;KIF5A;TIMP2;ENPP5;ATP6V0A1;SLC12A5;ATP6AP1;CADPS;LHFPL4;DNM1;CIT;CS;DISP2;MAP1B;SCN8A;GNB1;CNTN1;INA
EZH2 astrocyte hg19,33/2000,0.00644308681322865,0.219064951649774,0,0,1.56398104265403,7.88988950952503,RAB3C;SNAP25;CNTNAP2;SLC24A3;CLSTN3;KCNA6;ACTB;ELAVL3;RNF157;DZANK1;KIF5A;MGAT3;CAMTA1;KIF1A;TPPP;ENPP5;RAB6B;SLC36A1;LYNX1;H3F3B;SYT1;HSPA4;GOT2;ATP2B2;SYP;SYT13;SYN1;PPP2R2C;NEDD4;RCAN2;NAT8L;MAPRE2;SCN2B
REST myocyte mm9,32/2000,0.0112212119852227,0.269309087645345,0,0,1.51658767772512,6.80940188003489,PYGB;NAPB;RAB3C;AHCYL1;RNF14;ATP2A2;ENO2;PURB;FAM168A;OPA1;PPP2R1A;PSAP;KIF1B;NCDN;TPPP;YWHAG;ATP6V0A1;NSF;H3F3B;IQSEC3;HSPA12A;MAPK8IP3;SYN1;DISP2;DNM3;ETNK1;IMPAD1;DNAJC5;GNB1;TBC1D24;ATP6V1B2;VAMP2
CTCF spleen mm9,32/2000,0.0112212119852227,0.277469969089144,0,0,1.51658767772512,6.80940188003489,LPGAT1;NDRG3;CAB39;RNF14;WBP2;PITPNA;ENDOD1;ATP2A2;CD99L2;ARRB1;ACTB;PURB;PURA;MAPK9;SYNGR1;PSAP;TIMP2;CEP170B;MAP4;ZBTB7A;ENPP5;BEND6;SLC36A1;ABCA2;GOT2;SYT7;DNM1;DISP2;NCEH1;PKM;SCN8A;ATP6V1B2
NRF1 SK-N-SH hg19,32/2000,0.0112212119852227,0.286140905623179,0,0,1.51658767772512,6.80940188003489,NAPB;RAB3C;RTN3;PTPRS;NDRG3;CAB39;PITPNA;ARRB1;ENO2;MECP2;SYNGR1;IDS;KIF1A;RAB6B;BEND6;ZYG11B;CBX6;SYP;MAPK8IP2;SRCIN1;DNM1;CLIP3;DISP2;DNM3;ETNK1;GNB1;TBC1D24;ATP6V1B2;TRIM37;CDK5R2;CDS2;GRINA
CTCF bone marrow macrophage mm9,32/2000,0.0112212119852227,0.295371257417475,0,0,1.51658767772512,6.80940188003489,NCKAP1;NDRG4;AHCYL1;LPGAT1;RNF14;DIRAS1;CELSR2;CX3CL1;MAPK9;SYNGR1;PEG13;ATCAY;CAMK2N2;KIF5A;KIF1B;GATSL2;BEND6;SLC36A1;ABCA2;GOT2;DNM1;CS;PTP4A2;NCEH1;TMX2;NOVA1;SCN8A;ATP13A2;MAPRE2;INA;CDS2;GRINA
MAFK H1-hESC hg19,32/2000,0.0112212119852227,0.305216965998058,0,0,1.51658767772512,6.80940188003489,RAB3C;CNTNAP2;AHCYL1;SLC24A3;GHITM;ACTB;PURB;PPP2CA;EPM2AIP1;LARP1;OPA1;SLC22A17;PSAP;CAMTA1;NCDN;ENPP5;YWHAG;BEND6;CBX6;GOT2;SYN1;SYT7;CIT;PTP4A2;PPP2R2C;MAP1B;OGDH;TRIM37;CALR;SELT;ARL8A;NFE2L1
MYOG myocyte mm9,51/3623,0.0160107261581453,0.373278644144187,0,0,1.33428739242308,5.51660641582303,RAB3C;AHCYL1;PTPRS;ARRB1;GHITM;ACTB;SCAMP5;MECP2;OPA1;PPP2R1A;NCS1;KIF1B;KIF1A;GATSL2;ENPP5;YWHAG;NSF;LYNX1;SLC6A17;FAM126B;PGM2L1;AES;DISP2;DNM3;PKM;IMPAD1;MADD;TBC1D24;CDIP1;MAPRE2;NAPB;WBP2;STXBP1;PURB;PPP2CA;PURA;SYNGR1;FAM168B;MAP4;TPPP;ATP6V0A1;CBX6;AP2B1;NCEH1;SYNJ1;ETNK1;NEDD4;GNB1;TRIM37;ATP13A2;CDK5R2
SUZ12 K562 hg19,31/2000,0.0189093709739174,0.376342602797965,0,0,1.46919431279621,5.8299065162614,NCKAP1;RTN3;NDRG4;HSPA4L;ACTB;EPM2AIP1;DPP6;SLC22A17;TRIM2;TIMP2;SPTBN1;EPHA5;CADPS;ATP2B2;NMNAT2;SYT7;SEPT3;ENAH;DNM3;STX1B;PTP4A2;SYNJ1;PPP2R2C;ETNK1;SCN8A;AAK1;CALR;SELT;CDK5R2;ARL8A;PFKP
CTCF GM19240 hg19,31/2000,0.0189093709739174,0.385751167867914,0,0,1.46919431279621,5.8299065162614,NCKAP1;PYGB;NAPB;RTN3;CAB39;PITPNA;HSPA4L;KCNA2;ENDOD1;ENO2;ACTB;SYNGR1;KIF5A;TIMP2;ATP6V0E2;ZBTB7A;SLC36A1;ABCA2;H3F3B;GOT2;ANK3;SCAMP1;FAM126B;DNM1;PTP4A2;NCEH1;NEDD4;EEF1A2;EIF4G3;CDK5R2;CDS2
REST PFSK-1 hg19,36/2387,0.017116509024142,0.387974204547218,0,0,1.42954431289548,5.81497432908891,RAB3C;SNAP25;CNTNAP2;KCNC1;DIRAS1;ELAVL3;SCAMP5;OPA1;DZANK1;CAMK2N2;TSPAN7;NCDN;SCN1A;ATP6V0A1;GABRA1;HSPA4;APLP2;IQSEC3;CADPS;LHFPL4;ELOVL6;SYP;NMNAT2;MAPK8IP2;EML2;SYN1;CS;ENAH;DISP2;DNM3;SYNJ1;ETNK1;MADD;ATP6V1B2;INA;CDK5R2
CTCF ES-Bruce4 mm9,31/2000,0.0189093709739174,0.395642223454271,0,0,1.46919431279621,5.8299065162614,NCKAP1;AHCYL1;CAB39;STAU2;RNF14;WBP2;MAPK9;SYNGR1;PEG13;ATCAY;TRIM2;CAMTA1;KIF1B;RAB6B;YWHAG;BEND6;SLC36A1;ABCA2;SLC12A5;H3F3B;DST;GOT2;SYT13;SYT7;DNM1;STX1B;NCEH1;TMX2;SCN8A;RCAN2;CDS2
UBTF MEL cell line mm9,31/2000,0.0189093709739174,0.406053860913594,0,0,1.46919431279621,5.8299065162614,NCKAP1;RTN3;NLGN2;CAB39;STAU2;RNF14;STXBP1;RAP1GDS1;ENDOD1;ATP2A2;ABAT;EPM2AIP1;PURA;SYNGR1;DZANK1;NCS1;KIF1B;MAP4;ZBTB7A;ZYG11B;CBX6;H3F3B;SYP;SRCIN1;AES;PTP4A2;ETNK1;VDAC1;ATP13A2;EIF4G3;CDS2
FOSL1 H1-hESC hg19,6/203,0.0209417526058034,0.406868336341323,0,0,2.80157822239862,10.8309304895475,CNTNAP2;SLC12A5;KCNC1;ELOVL6;NAT8L;SYT7
CTCF bronchial epithelial cell hg19,31/2023,0.0218213958635274,0.414099047084612,0,0,1.45249067009017,5.55557975205303,NCKAP1;NAPB;RTN3;LPGAT1;KCNC1;CAB39;WBP2;PITPNA;HSPA4L;CX3CL1;SYNGR1;FAM168A;OPA1;SLC22A17;KIF5A;TIMP2;ATP6V0E2;SLC36A1;ABCA2;GOT2;ANK3;SCAMP1;FAM126B;DNM1;PTP4A2;NCEH1;NEDD4;RCAN2;EEF1A2;VDAC1;CDS2
FOS K562 hg19,31/2000,0.0189093709739174,0.417028289586934,0,0,1.46919431279621,5.8299065162614,TTYH3;CLSTN3;WBP2;ABAT;GHITM;DNAJC27;ACTB;TTBK2;MECP2;RNF157;EPM2AIP1;MAPK9;ACTR1B;PPP2R1A;CAMTA1;KIF1B;MAP4;NCDN;H3F3B;ATP6AP1;APLP2;KCNAB2;FAM126B;EML2;CIT;CS;TMX2;OGDH;CALR;CDK5R2;NFE2L1
NELFE MEL cell line mm9,30/2000,0.0308203590897598,0.433610569262828,0,0,1.4218009478673,4.94726985492699,AHCYL1;STXBP1;PITPNA;ABAT;ARRB1;GHITM;ACTB;TTBK2;MECP2;EPM2AIP1;SYNGR1;ACTR1B;OPA1;IDS;GATSL2;YWHAG;ATP6V0A1;ABCA2;ZYG11B;CBX6;SYP;AP2B1;MAPK8IP3;DISP2;NCEH1;IMPAD1;GNB1;SERINC1;ATP13A2;VAMP2
CTCF olfactory bulb mm9,30/2000,0.0308203590897598,0.441217772232351,0,0,1.4218009478673,4.94726985492699,AHCYL1;LPGAT1;CAB39;RNF14;STXBP1;ENDOD1;ARRB1;THY1;DNAJC27;MAPK9;SYNGR1;DPP6;PEG13;TIMP2;KIF1B;MAP4;BEND6;SLC36A1;ABCA2;CBX6;GOT2;SYT7;DNM1;CS;STX1B;PTP4A2;NCEH1;SCN8A;ATP13A2;CDS2
RAD21 H1-hESC hg19,39/2750,0.0319266170053269,0.441561347056724,0,0,1.34424816889272,4.63001443862203,NCKAP1;NAPB;CNTNAP2;AHCYL1;LPGAT1;CAB39;STAU2;HSPA4L;ENDOD1;CD99L2;ZDHHC22;DPP6;OPA1;SLC22A17;SV2A;KIF5A;TIMP2;NEFL;ATP6V0E2;SLC36A1;ABCA2;SYT1;GOT2;CADPS;ANK2;ELOVL6;ANK3;SYP;SCAMP1;SYN1;DNM1;PTP4A2;NCEH1;NEDD4;RCAN2;TRIM37;SELT;INA;CDS2
CTCF H1-hESC hg19,53/3890,0.0251031844978993,0.445308664136649,0,0,1.29143873585204,4.75864253045688,NCKAP1;AHCYL1;LPGAT1;KCNC1;GHITM;CX3CL1;EPM2AIP1;SLC22A17;KIF5A;TIMP2;NEFL;KIF1B;YWHAG;SCN1A;EPHA5;SLC36A1;SLC6A17;ANK3;SYP;SCAMP1;FAM126B;MAPK8IP3;SYN1;DNM1;CIT;CLIP3;STX1B;PTP4A2;SCN8A;EEF1A2;NAPB;RTN3;NDRG3;SLC24A3;CAB39;STAU2;HSPA4L;ENDOD1;MAPK9;SYNGR1;DPP6;FUT9;ATP6V0E2;BEND6;ABCA2;SLC12A5;GOT2;SYT7;NCEH1;NEDD4;RCAN2;SELT;CDS2
BHLHE40 MEL cell line mm9,30/2000,0.0308203590897598,0.449096661022215,0,0,1.4218009478673,4.94726985492699,ATP6V1A;NCKAP1;PTPRS;RAP1GDS1;ENDOD1;CD99L2;SLC2A3;ENO2;FAM168B;LARP1;SV2A;ZBTB7A;ENPP5;ATP6V0A1;NSF;SLC36A1;ABCA2;CBX6;HSPA4;APLP2;PGM2L1;AES;DISP2;PKM;SYNJ1;GNB1;TBC1D24;ATP6V1B2;CALR;ARL8A
PBX3 GM12878 hg19,22/1334,0.0250682573967403,0.45457106746089,0,0,1.56319944293256,5.76219212659751,CBX6;H3F3B;ATP6AP1;CLSTN3;ATP1A3;MAPK8IP3;ACTB;TTBK2;CIT;MECP2;MAPK9;ACTR1B;TMX2;PPP2R1A;OGDH;CNTN1;CAMTA1;CALR;GATSL2;ENPP5;CDK5R2;NFE2L1
CTCF GM12892 hg19,30/2000,0.0308203590897598,0.457262054858982,0,0,1.4218009478673,4.94726985492699,NCKAP1;RTN3;SLC24A3;CAB39;PITPNA;HSPA4L;ENDOD1;ENO2;ACTB;KIF5A;TIMP2;ATP6V0E2;ZBTB7A;SLC36A1;TMOD2;GOT2;ANK3;SYP;SCAMP1;FAM126B;DNM1;PTP4A2;NCEH1;NEDD4;IMPAD1;DNAJC5;EEF1A2;TRIM37;CDK5R2;CDS2
RCOR1 MEL cell line mm9,25/1567,0.0249891173421346,0.463434539799587,0,0,1.51223244827409,5.57910163593586,NCKAP1;PTPRS;NDRG3;WBP2;ABAT;THY1;PPP2CA;MAPK9;KIF5A;CAMTA1;MAP4;SPTBN1;ATP6V0A1;ABCA2;APLP2;SYP;MAPK8IP3;DISP2;PTP4A2;PKM;SYT11;NEDD4;TBC1D24;EIF4G3;SCN2B
CTCF C2C12 mm9,30/2000,0.0308203590897598,0.465729870689704,0,0,1.4218009478673,4.94726985492699,AHCYL1;LPGAT1;NDRG3;CAB39;RNF14;CLSTN1;ENDOD1;ATP2A2;DNAJC27;MAPK9;SYNGR1;PEG13;NCS1;TIMP2;CEP170B;KIF1B;MAP4;RAB6B;YWHAG;BEND6;SLC36A1;ABCA2;GOT2;SYT13;SYN1;SYT7;DNM1;DISP2;NCEH1;CDS2
EZH2 endothelial cell of umbilical vein hg19,30/2000,0.0308203590897598,0.474517226740453,0,0,1.4218009478673,4.94726985492699,LPGAT1;SLC24A3;CLSTN1;THY1;ZDHHC22;CELSR2;CX3CL1;TTBK2;OPA1;TRIM2;NEFL;TPPP;ENPP5;ABCA2;GABRA1;LYNX1;APLP2;IQSEC3;GOT2;ANK2;ANK3;SYT13;SCAMP1;SRCIN1;SEPT3;MAP1B;ETNK1;ATP6V1B2;NAT8L;MAPRE2
CTCF choroid plexus epithelial cell hg19,22/1381,0.0349774482096769,0.475693295651605,0,0,1.50999859295586,5.06310344277845,SLC36A1;NCKAP1;ABCA2;NAPB;RTN3;LPGAT1;SYT1;HSPA4L;GOT2;GHITM;ANK3;SCAMP1;FAM126B;DNM1;PTP4A2;NCEH1;SLC22A17;NEDD4;TIMP2;NEFL;ATP6V0E2;CDS2
