"Term","Overlap","Adjusted.P.value","Genes","P"
"lysosomal membrane (GO:0005765)","17/291",9.75481884190545e-05,"NSF;ATP6V1A;SLC36A1;ABCA2;ARRB1;AP2B1;SYNGR1;DNAJC5;EEF1A2;PSAP;GNB1;VPS41;ATP6V1B2;CDIP1;ATP13A2;ARL8A;ATP6V0A1","Transmembrane transport of small molecules;Transmembrane transport of small molecules Homo sapiens R-HSA-382551;ion transport (GO:0006811);Epithelial cell signaling in Helicobacter pylori infection;hydrogen-exporting ATPase activity (GO:0036442);lytic vacuole membrane (GO:0098852);Insulin receptor recycling Homo sapiens R-HSA-77387;Iron uptake and transport Homo sapiens R-HSA-917937;Transferrin endocytosis and recycling Homo sapiens R-HSA-917977;Ion channel transport Homo sapiens R-HSA-983712;ion transmembrane transport (GO:0034220);cellular response to insulin stimulus (GO:0032869);proton-transporting ATPase activity, rotational mechanism (GO:0046961);hydrogen ion transmembrane transporter activity (GO:0015078);Vibrio cholerae infection;transferrin transport (GO:0033572);ferric iron transport (GO:0015682);lysosome (GO:0005764);ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769);Collecting duct acid secretion;phagosome acidification (GO:0090383);Transferrin endocytosis and recycling;transmembrane transport (GO:0055085);ROS, RNS production in response to bacteria Homo sapiens R-HSA-1222556;proton transport (GO:0015992);phagosome maturation (GO:0090382);intracellular pH reduction (GO:0051452);Latent infection of Homo sapiens with Mycobacterium tuberculosis;Iron uptake and transport;Rheumatoid arthritis;regulation of macroautophagy (GO:0016241)"
"nucleoside-triphosphatase activity (GO:0017111)","22/424",0.000103557172943632,"NSF;ABCA2;RAB3C;HSPA4;DIRAS1;HSPA4L;DNAJC27;RAP1GAP;DNM1;SEPT3;DNM3;HSPH1;OPA1;KIF5C;KIF5A;EEF1A2;GNB1;KIF1B;ATP13A2;KIF1A;RAB6B;ARL8A","protein transport (GO:0015031);GTPase activity (GO:0003924);cellular protein localization (GO:0034613)"
"juxtaparanode region of axon (GO:0044224)","4/9",0.000127572493291636,"CNTNAP2;KCNA2;CNTN2;KCNAB2","axolemma (GO:0030673);neuron development (GO:0048666);neuron projection development (GO:0031175);plasma membrane bounded cell projection organization (GO:0120036);vocal learning (GO:0042297);imitative learning (GO:0098596)"
"modulation of chemical synaptic transmission (GO:0050804)","10/82",0.000248014032303365,"STX1B;GRM5;NLGN2;SYT1;CLSTN3;CLSTN1;MAPK8IP2;CPLX2;CPLX1;SYN1","positive regulation of synaptic transmission (GO:0050806);positive regulation of signaling (GO:0023056);positive regulation of cellular component biogenesis (GO:0044089);positive regulation of cell communication (GO:0010647)"
"Cardiac conduction Homo sapiens R-HSA-5576891","10/135",0.00160039446779978,"AHCYL1;SCN8A;CACNA2D2;ATP2A2;ATP1A3;ATP2B2;SCN1B;FGF11;SCN1A;SCN2B","Phase 0 - rapid depolarisation Homo sapiens R-HSA-5576892;inorganic cation transmembrane transport (GO:0098662);Muscle contraction Homo sapiens R-HSA-397014;voltage-gated sodium channel activity (GO:0005248);intercalated disc (GO:0014704);regulation of ion transmembrane transporter activity (GO:0032412);cardiac muscle cell action potential involved in contraction (GO:0086002);positive regulation of sodium ion transport (GO:0010765);cardiac muscle cell action potential (GO:0086001);regulation of sodium ion transport (GO:0002028);cardiac muscle cell contraction (GO:0086003);membrane depolarization during cardiac muscle cell action potential (GO:0086012);sodium ion transmembrane transport (GO:0035725);regulation of sodium ion transmembrane transporter activity (GO:2000649);membrane depolarization during action potential (GO:0086010);sodium channel inhibitor activity (GO:0019871);regulation of atrial cardiac muscle cell membrane depolarization (GO:0060371)"
"membrane fusion (GO:0061025)","7/54",0.00183829038672384,"NSF;DNM3;NAPB;OPA1;VPS41;DNM1;VAMP2","dynamin family protein polymerization involved in membrane fission (GO:0003373);dynamin family protein polymerization involved in mitochondrial fission (GO:0003374);Recycling pathway of L1 Homo sapiens R-HSA-437239;nitric-oxide synthase binding (GO:0050998);Retrograde neurotrophin signalling Homo sapiens R-HSA-177504;Beta-arrestins in GPCR desensitization;Gamma-aminobutyric acid receptor life cycle;MHC class II antigen presentation Homo sapiens R-HSA-2132295;Recycling pathway of cell adhesion molecule L1;Retrograde neurotrophin signaling;MHC class II antigen presentation;Beta-arrestin-dependent recruitment of Src kinases in GPCR signaling"
"MAPK targets/ Nuclear events mediated by MAP kinases Homo sapiens R-HSA-450282","5/30",0.00219081933677186,"PPP2CA;MAPK10;MAPK9;JUN;PPP2R1A","Nuclear events mediated by MAP kinases;Wnt signaling pathway and pluripotency;Activation of the AP-1 family of transcription factors Homo sapiens R-HSA-450341;Activation of the AP-1 family of transcription factors;IGF1 receptor signaling through beta-arrestin;Dopaminergic synapse;FoxO family signaling;MAP kinase activity (GO:0004707);Chagas disease;MAP kinase activation in TLR cascade Homo sapiens R-HSA-450294;Chagas disease (American trypanosomiasis);Tight junction;Toll Like Receptor 4 (TLR4) Cascade Homo sapiens R-HSA-166016;Estrogen receptor signaling pathway"
"transaminase activity (GO:0008483)","4/14",0.00276017883634733,"GOT1;GOT2;ABAT;BCAT1","dicarboxylic acid catabolic process (GO:0043649);Gluconeogenesis Homo sapiens R-HSA-70263;Gluconeogenesis;cellular amino acid biosynthetic process (GO:0008652);glutamate metabolic process (GO:0006536);gluconeogenesis (GO:0006094);hexose biosynthetic process (GO:0019319);Amino acid biosynthesis and interconversion (transamination);Phenylalanine, tyrosine and tryptophan biosynthesis;Arginine biosynthesis;glucose metabolic process (GO:0006006)"
"negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732)","5/27",0.00346463663462494,"PPP2CA;INPP5F;PPP2R1A;THY1;SRCIN1","negative regulation of tyrosine phosphorylation of STAT protein (GO:0042532);PDGFB signaling pathway;ERBB1 downstream pathway;Glycogen metabolism;RHO GTPase Effectors Homo sapiens R-HSA-195258;Adrenergic signaling in cardiomyocytes;PP2A-mediated dephosphorylation of key metabolic factors Homo sapiens R-HSA-163767"
"neuron projection morphogenesis (GO:0048812)","11/163",0.00366994642821227,"NCKAP1;GPM6A;CNTNAP2;MAP1B;MAP1A;ADGRB1;ANK3;MAPK8IP2;CELSR2;NEFH;PACSIN1","cell morphogenesis involved in neuron differentiation (GO:0048667);regulation of protein depolymerization (GO:1901879)"
"neurotransmitter transport (GO:0006836)","4/16",0.00442048004346324,"SNAP25;SLC38A1;SLC32A1;SYNJ1","Transport of inorganic cations/anions and amino acids/oligopeptides Homo sapiens R-HSA-425393;Transport of inorganic cations/anions and amino acids/oligopeptides;amino acid transport (GO:0006865);amino acid transmembrane transport (GO:0003333);amino acid transmembrane transporter activity (GO:0015171);SLC-mediated transmembrane transport;SLC-mediated transmembrane transport Homo sapiens R-HSA-425407;cation:amino acid symporter activity (GO:0005416);hydrogen:amino acid symporter activity (GO:0005280)"
"phosphatidylinositol phosphate 4-phosphatase activity (GO:0034596)","3/7",0.00476478260881723,"INPP4A;SYNJ1;INPP5F","negative regulation of neuron projection regeneration (GO:0070571);phosphatidylinositol phosphate phosphatase activity (GO:0052866)"
"2-oxoglutarate metabolic process (GO:0006103)","4/17",0.0052794751038981,"GOT1;GOT2;OGDH;DLST","aspartate family amino acid catabolic process (GO:0009068);Metabolism;mitochondrion (GO:0005739);oxoglutarate dehydrogenase complex (GO:0045252);Citric acid cycle (TCA cycle) Homo sapiens R-HSA-71403;succinyl-CoA metabolic process (GO:0006104)"
"regulation of synaptic vesicle exocytosis (GO:2000300)","4/17",0.0052794751038981,"NAPB;STX1B;STXBP1;SYN1","LGI-ADAM interactions Homo sapiens R-HSA-5682910"
"cellular metal ion homeostasis (GO:0006875)","8/96",0.00622078271132242,"SLC24A2;SLC24A3;ATP2A2;ATP1A3;ANK2;ATP2B2;ATP13A2;CALR","calcium ion homeostasis (GO:0055074);regulation of cardiac conduction (GO:1903779);calcium-transporting ATPase activity (GO:0005388);cellular divalent inorganic cation homeostasis (GO:0072503);Ion channel transport;cellular calcium ion homeostasis (GO:0006874)"
"Cell adhesion molecules (CAMs)","9/133",0.00703602381373341,"CNTNAP2;CADM3;NFASC;NLGN2;NEGR1;CNTN1;NRXN3;CNTN2;NRXN2","ficolin-1-rich granule (GO:0101002);Synaptic proteins at the synaptic junction;tertiary granule (GO:0070820);Cell adhesion molecules (CAMs);neutrophil degranulation (GO:0043312);neutrophil activation involved in immune response (GO:0002283);neutrophil mediated immunity (GO:0002446);Neurofascin interactions Homo sapiens R-HSA-447043"
"proline transport (GO:0015824)","3/9",0.00986950253302316,"SLC36A1;SLC6A7;SLC6A17","neutral amino acid transport (GO:0015804);sodium:amino acid symporter activity (GO:0005283)"
"perinuclear region of cytoplasm (GO:0048471)","15/378",0.0115414950886966,"CYFIP2;EPHA5;CHGA;RAB3C;SET;DNM3;SYNJ1;NEDD4;ADGRB1;PDE4A;PKP4;CALR;TPPP;VAMP2;PACSIN1","Toxicity of botulinum toxin type D (BoNT/D) Homo sapiens R-HSA-5250955;Toxicity of botulinum toxin type F (BoNT/F) Homo sapiens R-HSA-5250981;Blockade of neurotransmitter release by botulinum toxin"
"protein localization to synapse (GO:0035418)","3/10",0.0123399595495656,"NLGN2;KIF5C;NRXN2","neuron cell-cell adhesion (GO:0007158);synapse assembly (GO:0007416)"
"sphingolipid metabolic process (GO:0006665)","8/116",0.0140366122240322,"PPP2CA;CERK;PPM1L;PPP2R1A;PSAP;SERINC1;ELOVL6;CSNK1G2","Phospholipid metabolism"
"regulation of potassium ion transmembrane transporter activity (GO:1901016)","4/25",0.0142823661148703,"CAB39;NEDD4;ANK2;VAMP2","regulation of potassium ion transmembrane transport (GO:1901379)"
"CHD-type complex (GO:0090545)","3/16",0.0148624099270565,"APLP2;NACC2;CHD5","NuRD complex (GO:0016581)"
"Trafficking of AMPA receptors Homo sapiens R-HSA-399719","4/31",0.0176352607949849,"NSF;EPB41L1;TSPAN7;AP2B1","Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity Homo sapiens R-HSA-399721;Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell Homo sapiens R-HSA-112314;Trafficking of GluR2-containing AMPA receptors Homo sapiens R-HSA-416993"
"Morphine addiction","7/92",0.0228898511631292,"GABRA1;SLC32A1;GNB1;ADORA1;PDE4A;ARRB1;GABRG2","Retrograde endocannabinoid signaling;acetylcholine receptor signaling pathway (GO:0095500)"
"specific granule membrane (GO:0035579)","6/91",0.0243901875628195,"SNAP25;DNAJC5;SLC2A3;KCNAB2;CD47;SCAMP1","positive regulation of cell-cell adhesion (GO:0022409)"
"cellular iron ion homeostasis (GO:0006879)","5/56",0.0338446133283996,"ATP6V1A;CAND1;ATP6AP1;SLC22A17;ATP13A2","regulation of cellular amide metabolic process (GO:0034248);iron ion homeostasis (GO:0055072)"
"regulation of axon extension (GO:0030516)","4/34",0.0338563204431926,"OLFM1;PTPRS;RUFY3;LIMK1","regulation of neuron projection development (GO:0010975)"
"Scavenging by Class F Receptors Homo sapiens R-HSA-3000484","2/6",0.03654064731273,"HSPH1;CALR","corticosteroid receptor signaling pathway (GO:0031958);glucocorticoid receptor signaling pathway (GO:0042921)"
"axonal transport (GO:0098930)","4/36",0.0383313749586787,"OPA1;DST;NEFL;KIF1B",""
"N-glycan antennae elongation in the medial/trans-Golgi","3/20",0.0408534269619449,"MGAT3;B4GALT6;B4GALT5","Transport to the Golgi and subsequent modification Homo sapiens R-HSA-948021"
"regulation of microtubule nucleation (GO:0010968)","2/6",0.045793494968024,"MECP2;EML2",""
