"Term","Overlap","Adjusted.P.value","Genes","P"
"Interaction between L1 and Ankyrins Homo sapiens R-HSA-445095","8/29",3.38391185672988e-06,"SCN8A;KCNQ2;ANK2;ANK3;SPTAN1;SPTBN1;SCN1A;SCN2B","Interaction between L1-type proteins and ankyrins;axon initial segment (GO:0043194);protein localization to plasma membrane (GO:0072659);node of Ranvier (GO:0033268);neuronal action potential (GO:0019228);protein localization to membrane (GO:0072657);Golgi to plasma membrane protein transport (GO:0043001);protein localization to cell periphery (GO:1990778);cytoskeleton-dependent cytokinesis (GO:0061640);action potential (GO:0001508);spectrin-associated cytoskeleton (GO:0014731)"
"lysosomal membrane (GO:0005765)","21/291",6.92997588279182e-06,"NSF;ATP6V1A;SLC36A1;ABCA2;NDUFC2;ARRB1;AP2B1;SYNGR1;VAPA;RHEB;GNAQ;DNAJC5;EEF1A2;PSAP;GNB1;VPS41;ATP6V1B2;CDIP1;ATP13A2;ARL8A;ATP6V0A1","lytic vacuole membrane (GO:0098852);azurophil granule (GO:0042582);azurophil granule membrane (GO:0035577);lysosome (GO:0005764);specific granule membrane (GO:0035579);specific granule (GO:0042581);regulated exocytosis (GO:0045055)"
"Membrane Trafficking Homo sapiens R-HSA-199991","26/420",8.00762060108445e-06,"APP;NAPB;YWHAB;DCTN3;ARRB1;AGPAT3;KIF5A;AKT1;KIF1B;KIF1A;SPTAN1;RAB6B;SPTBN1;YWHAG;NSF;DYNC1H1;ANK2;ANK3;YWHAZ;DNM1;DYNC1LI2;DNAJC6;PAFAH1B3;VPS28;VAMP2;PAFAH1B1","Vesicle-mediated transport Homo sapiens R-HSA-5653656;COPI-independent Golgi-to-ER retrograde traffic Homo sapiens R-HSA-6811436;Golgi-to-ER retrograde transport Homo sapiens R-HSA-8856688;COPI-mediated anterograde transport Homo sapiens R-HSA-6807878;Adaptive Immune System Homo sapiens R-HSA-1280218;Adaptive immune system;MHC class II antigen presentation Homo sapiens R-HSA-2132295;Intra-Golgi and retrograde Golgi-to-ER traffic Homo sapiens R-HSA-6811442;MHC class II antigen presentation;ER to Golgi Anterograde Transport Homo sapiens R-HSA-199977;Transport to the Golgi and subsequent modification Homo sapiens R-HSA-948021;Immune system;Golgi vesicle transport (GO:0048193);G2/M Transition Homo sapiens R-HSA-69275;Mitotic G2-G2/M phases Homo sapiens R-HSA-453274;Anchoring of the basal body to the plasma membrane Homo sapiens R-HSA-5620912;regulation of G2/M transition of mitotic cell cycle (GO:0010389);ciliary basal body-plasma membrane docking (GO:0097711);Loss of Nlp from mitotic centrosomes Homo sapiens R-HSA-380259;Loss of proteins required for interphase microtubule organization?from the centrosome Homo sapiens R-HSA-380284;Asparagine N-linked glycosylation Homo sapiens R-HSA-446203"
"nucleoside-triphosphatase activity (GO:0017111)","27/424",9.29043288533439e-06,"RAB3C;RAB5B;DIRAS1;HSPA4L;ATP5H;DNAJC27;OPA1;KIF5A;MFN2;KIF1B;KIF1A;DNM1L;HRAS;RAB6B;NSF;ABCA2;HSPA4;DNM1;SEPT3;DNM3;RHEB;RAB15;GNAQ;EEF1A2;GNB1;ATP13A2;ARL8A","vesicle-mediated transport (GO:0016192);GTPase activity (GO:0003924);cellular protein localization (GO:0034613)"
"axonal transport (GO:0098930)","9/36",1.35213785061614e-05,"OPA1;DST;NEFL;KIF1B;MAPT;HAP1;AP3B2;TRAK2;PAFAH1B1","mitochondrion distribution (GO:0048311);retrograde axonal transport (GO:0008090);mitochondrion localization (GO:0051646);anterograde axonal transport (GO:0008089);vesicle transport along microtubule (GO:0047496);mitochondrion organization (GO:0007005);organelle transport along microtubule (GO:0072384);nervous system development (GO:0007399)"
"Calcium regulation in the cardiac cell","15/149",1.75270320494774e-05,"CAMK2B;YWHAB;PRKCE;ATP2A2;ARRB1;ATP2B2;ATP2B1;YWHAZ;GNAQ;CAMK4;GNB1;CALR;CALM2;CAMK2G;YWHAG","Myometrial relaxation and contraction pathways;Cholinergic synapse;Endocrine and other factor-regulated calcium reabsorption;Salivary secretion;acetylcholine receptor signaling pathway (GO:0095500);Glucagon signaling pathway;Chagas disease (American trypanosomiasis);Integration of energy metabolism Homo sapiens R-HSA-163685;Chagas disease;Insulin secretion;GnRH signaling pathway;Gastric acid secretion;Sphingolipid signaling pathway;Regulation of insulin secretion Homo sapiens R-HSA-422356;Angiotensin II-stimulated signaling through G-proteins and beta-arrestin;LPA receptor mediated events;Actions of nitric oxide in the heart;Renin secretion;Integration of energy metabolism;Pancreatic secretion;Apelin signaling pathway;Thromboxane A2 receptor signaling;Differentiation pathway in PC12 cells;phototransduction, visible light (GO:0007603);PKC-catalyzed phosphorylation of inhibitory phosphoprotein of myosin phosphatase;Plasma membrane estrogen receptor signaling;G-protein coupled acetylcholine receptor signaling pathway (GO:0007213);Inflammatory mediator regulation of TRP channels;Circadian entrainment;Melanogenesis"
"syntaxin binding (GO:0019905)","11/77",1.82517303046182e-05,"NSF;SNAP25;NAPB;PRRT2;SYT1;SYT11;STXBP1;VAMP1;SYT13;VAMP2;SYT7","vesicle fusion (GO:0006906);calcium ion regulated exocytosis (GO:0017156);organelle membrane fusion (GO:0090174);regulation of calcium ion-dependent exocytosis (GO:0017158);plasma membrane organization (GO:0007009);regulation of regulated secretory pathway (GO:1903305);vesicle organization (GO:0016050);calcium ion binding (GO:0005509);early phagosome (GO:0032009)"
"cytoskeleton (GO:0005856)","28/520",2.39479131942813e-05,"SNAP25;ACTB;PPP2CA;HINT1;ACTR1B;MPRIP;PPP2R1A;EPB41L1;AKT1;MAP4;SPTAN1;SPTBN1;ACTR2;SLC30A9;DST;TMOD2;ANK3;SRCIN1;EML2;SYN1;DNM1;PJA2;SEPT3;DNM3;MAPT;HAP1;MAPRE2;INA","protein kinase binding (GO:0019901);axonal transport of mitochondrion (GO:0019896);kinase binding (GO:0019900);stress granule assembly (GO:0034063);mitochondrion transport along microtubule (GO:0047497)"
"membrane fusion (GO:0061025)","10/54",2.8700414896951e-05,"NSF;DNM3;NAPB;OPA1;VAPA;VPS41;MFN2;DNM1L;DNM1;VAMP2","cytoplasmic vesicle (GO:0031410);dynamin family protein polymerization involved in membrane fission (GO:0003373);dynamin family protein polymerization involved in mitochondrial fission (GO:0003374);Beta-arrestin-dependent recruitment of Src kinases in GPCR signaling;Endocytosis;Retrograde neurotrophin signalling Homo sapiens R-HSA-177504;Beta-arrestins in GPCR desensitization;mitochondrial fission (GO:0000266);Retrograde neurotrophin signaling;nitric-oxide synthase binding (GO:0050998);Toll-Like Receptors Cascades Homo sapiens R-HSA-168898;organelle fission (GO:0048285);Toll Like Receptor 4 (TLR4) Cascade Homo sapiens R-HSA-166016"
"kinesin binding (GO:0019894)","7/28",4.38463714840131e-05,"ATCAY;CLSTN1;KIF1B;MAPK8IP2;MAPK8IP3;ACTB;TTBK2","regulation of cation channel activity (GO:2001257);regulation of glutamate receptor signaling pathway (GO:1900449);regulation of neurotransmitter receptor activity (GO:0099601)"
"ERBB1 downstream pathway","12/106",5.22228381952676e-05,"CYFIP2;PPP2CA;NCKAP1;MAP2K4;ACTR2;MAPK9;PPP2R1A;YWHAB;AKT1;HRAS;YWHAZ;YWHAG","PDGFB signaling pathway;RHO GTPases Activate WASPs and WAVEs Homo sapiens R-HSA-5663213;Rac1 cell motility signaling pathway;Fcgamma receptor (FCGR) dependent phagocytosis Homo sapiens R-HSA-2029480;Y branching of actin filaments;Regulation of actin dynamics for phagocytic cup formation Homo sapiens R-HSA-2029482"
"Neurotrophin signaling pathway","13/126",5.22228381952676e-05,"CAMK2B;NTRK2;YWHAB;KIDINS220;NTRK3;YWHAZ;MAPK9;CAMK4;AKT1;CALM2;HRAS;CAMK2G;YWHAG","regulation of neuron projection development (GO:0010975);Neurotrophin signaling pathway;cellular response to nerve growth factor stimulus (GO:1990090);neurotrophin binding (GO:0043121);positive regulation of neuron projection development (GO:0010976);positive regulation of protein modification process (GO:0031401)"
"Ion transport by P-type ATPases Homo sapiens R-HSA-936837","8/55",0.000133191108378469,"CAMK2B;ATP2A2;ATP1A3;ATP2B2;ATP13A2;ATP2B1;CAMK2G;ATP9A","Adrenergic signaling in cardiomyocytes;cGMP-PKG signaling pathway;Ion homeostasis Homo sapiens R-HSA-5578775;Aldosterone synthesis and secretion;Calcium signaling pathway;Cardiac conduction Homo sapiens R-HSA-5576891;Ion channel transport;FSH regulation of apoptosis;calcium-transporting ATPase activity (GO:0005388);cellular metal ion homeostasis (GO:0006875);cAMP signaling pathway;cation-transporting ATPase activity (GO:0019829);Ion transport by P-type ATPases;Reduction of cytosolic calcium levels;Muscle contraction Homo sapiens R-HSA-397014;Platelet homeostasis Homo sapiens R-HSA-418346;Reduction of cytosolic Ca++ levels Homo sapiens R-HSA-418359;regulation of cardiac conduction (GO:1903779);Platelet homeostasis;regulation of heart contraction (GO:0008016);ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism (GO:0015662);cellular divalent inorganic cation homeostasis (GO:0072503);ATPase coupled ion transmembrane transporter activity (GO:0042625);PDZ domain binding (GO:0030165);Hemostasis Homo sapiens R-HSA-109582;calcium ion homeostasis (GO:0055074);Platelet calcium homeostasis;Hemostasis pathway"
"PI3K/PLC/TRK pathway","7/36",0.000199057865998881,"YWHAB;EPB41L1;CAMK4;AKT1;HRAS;YWHAZ;YWHAG","Calcineurin-dependent NFAT signaling role in lymphocytes;Signaling by Rho GTPases Homo sapiens R-HSA-194315;mTOR signaling pathway;Activation of BAD and translocation to mitochondria Homo sapiens R-HSA-111447;TP53 Regulates Metabolic Genes Homo sapiens R-HSA-5628897;Insulin regulation of blood glucose;RHO GTPase Effectors Homo sapiens R-HSA-195258;Oocyte meiosis;PIK3C1/AKT pathway;cytoplasmic vesicle membrane (GO:0030659);Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex Homo sapiens R-HSA-75035;Activation of BH3-only proteins Homo sapiens R-HSA-114452;positive regulation of protein localization to membrane (GO:1905477);Alpha-6 beta-1 and alpha-6 beta-4 integrin signaling;LKB1 signaling events;Hippo signaling pathway;FoxO family signaling;Prolactin activation of MAPK signaling;focal adhesion (GO:0005925);Translocation of GLUT4 to the plasma membrane Homo sapiens R-HSA-1445148;Intrinsic Pathway for Apoptosis Homo sapiens R-HSA-109606;p38 MK2 pathway;Hepatitis C"
"Trafficking of AMPA receptors Homo sapiens R-HSA-399719","6/31",0.000276552688082122,"CAMK2B;NSF;EPB41L1;TSPAN7;AP2B1;CAMK2G","Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity Homo sapiens R-HSA-399721;Glutamate binding and activation of AMPA receptors and synaptic plasticity;Trafficking of GluR2-containing AMPA receptors Homo sapiens R-HSA-416993"
"Glycolysis Homo sapiens R-HSA-70171","6/32",0.000323834385848556,"PPP2CA;PKM;PPP2R1A;ENO2;PFKP;HK1","Glucose metabolism Homo sapiens R-HSA-70326;Glycogen metabolism;Glycolysis;Tight junction;AMPK signaling pathway;Opioid Signalling Homo sapiens R-HSA-111885;RAF activation Homo sapiens R-HSA-5673000;Glucose metabolism;negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732);Opioid signaling;Long-term depression;sphingolipid metabolic process (GO:0006665);protein phosphatase regulator activity (GO:0019888);Negative regulation of MAPK pathway Homo sapiens R-HSA-5675221;PP2A-mediated dephosphorylation of key metabolic factors Homo sapiens R-HSA-163767;CTLA4 inhibitory signaling Homo sapiens R-HSA-389513;PP2A-mediated dephosphorylation of key metabolic factors;CTLA4 inhibitory signaling;DARPP-32 events Homo sapiens R-HSA-180024"
"regulation of microtubule polymerization (GO:0031113)","7/35",0.000567532261210367,"CLIP3;PAK1;STMN1;MAPT;EML2;CAMSAP2;CDK5R1","negative regulation of microtubule polymerization or depolymerization (GO:0031111);negative regulation of microtubule polymerization (GO:0031115);negative regulation of supramolecular fiber organization (GO:1902904)"
"Deregulation of CDK5 in Alzheimer's disease","4/10",0.000717314345535873,"PPP2CA;APP;MAPT;CDK5R1","Ck1/Cdk5 regulation by type 1 glutamate receptors;Reelin signaling pathway;regulation of dendritic spine development (GO:0060998);regulation of protein serine/threonine kinase activity (GO:0071900);regulation of dendritic spine morphogenesis (GO:0061001);regulation of dendrite morphogenesis (GO:0048814);brain development (GO:0007420);Lissencephaly gene (LIS1) in neuronal migration and development;protein serine/threonine kinase activator activity (GO:0043539)"
"Long-term potentiation","8/67",0.000771615437700337,"CAMK2B;PPP3CB;PLCB4;CAMK4;GNAQ;HRAS;CAMK2G;CALM2","NFAT involvement in hypertrophy of the heart;Long-term potentiation;Angiotensin II-mediated activation of JNK pathway via Pyk2-dependent signaling;PGC-1a regulation;Bioactive peptide-induced signaling pathway;Oxytocin signaling pathway;Glioma;Signaling pathway from G-protein families;fMLP induced chemokine gene expression in HMC-1 cells;positive regulation of cation channel activity (GO:2001259);response to metal ion (GO:0010038);Fc epsilon receptor I signaling in mast cells;Amphetamine addiction;positive regulation of calcium ion transmembrane transporter activity (GO:1901021)"
"CDC42 signaling events","8/70",0.00116340838705399,"ENAH;ACTR2;MAP2K4;MAPK9;PAK1;PRKCE;TNK2;HRAS","ErbB signaling pathway;ERBB signaling pathway;TNFR1 signaling pathway;T cell signal transduction;T cell receptor signaling pathway;Ephrin receptor B forward pathway;Natural killer cell receptor signaling pathway;MAPK cascade role in angiogenesis;Integrin signaling pathway"
